topic,count,depth,parent,definition,emoji,examples
Trust Issues,6,1,reasons why she left you,"Trust issues refer to a lack of confidence or certainty in another person's reliability, honesty, or faithfulness. It can stem from past experiences or a lack of trust-building behaviors in a current relationship.",🤨,"- Constantly checking their phone or social media accounts for signs of infidelity
- Accusing their partner of lying or cheating without evidence or reason
- Refusing to share personal information or feelings with their partner
- Avoiding commitment or intimacy in a relationship due to fear of being hurt or betrayed
- Being overly controlling or possessive in the relationship
- Not disclosing important information or lying about their past experiences or actions
- Being suspicious or jealous of their partner's friendships or interactions with other people."
Communication Issues,5,1,reasons why she left you,"Communication issues refer to problems or difficulties that arise in the process of exchanging information or ideas between two or more individuals. These issues could be caused by various factors such as language barriers, misunderstandings, lack of clarity or ineffective listening skills.",🤷‍♀️,"- Misunderstandings due to different interpretations of words or phrases
- Inability to express thoughts or emotions clearly
- Language barriers or differences in dialects
- Lack of active listening or interrupting during conversations
- Nonverbal cues being misinterpreted or ignored
- Failure to communicate expectations or boundaries
- Difficulty receiving feedback or criticism without becoming defensive
- Avoiding or shutting down communication altogether in times of conflict."
Financial Problems,3,1,reasons why she left you,"Financial problems refer to difficulties or challenges related to managing money or finances. These can include issues such as debt, insufficient income or savings, overspending, or unexpected expenses. Financial problems can have a significant impact on individuals, families, and businesses, and may require careful planning and budgeting to overcome.",💸,"- Accumulating credit card debt
- Inability to pay bills on time
- Living paycheck to paycheck
- Insufficient savings for emergencies
- Being denied for loans or credit due to poor credit score
- Overdraft fees on bank accounts
- Looming bankruptcy or foreclosure
- Inability to afford basic necessities such as food, housing, or healthcare
- Crippling student loan debt
- Struggling to save for retirement"
Different Life Goals,3,1,reasons why she left you,"Different life goals refer to the varying aspirations, desires, and objectives that individuals have for their future. These goals can include career ambitions, personal growth, family planning, and lifestyle choices that shape how someone wants to live their life. When two people in a relationship have different life goals, it can create tension and conflict, making it challenging to build a shared future together.",🧭,"- One partner wants to travel the world and have a nomadic lifestyle, while the other wants to settle down and start a family in their hometown.
- One partner has a strong career ambition and wants to prioritize their work above all else, while the other values work-life balance and wants to prioritize time with their family and hobbies.
- One partner wants to save up and invest their money for a comfortable retirement, while the other wants to spend their money on experiences and enjoy life in the present moment.
- One partner has a strong desire to pursue a particular hobby or passion, while the other doesn't share that interest and doesn't want to prioritize it in their life."
Insecurity,4,2,Trust Issues,"Insecurity is a feeling of uncertainty or anxiety about oneself, often related to a lack of confidence or trust in one's own abilities or worth. It can manifest in different ways, including self-doubt, fear of rejection or failure, and a need for constant reassurance or validation from others.",🥺,"- Constantly seeking validation and reassurance from others
- Difficulty accepting compliments or positive feedback
- Overanalyzing and second-guessing one's actions and decisions
- Fear of rejection or abandonment in relationships
- Comparing oneself to others and feeling inadequate or inferior
- Being overly defensive or sensitive to criticism or perceived slights
- Difficulty trusting others or forming close relationships
- Feeling like an imposter or fraud in one's accomplishments or abilities
- Avoiding challenges or new experiences due to fear of failure or embarrassment
- Obsessively checking social media or other sources for signs of approval or acceptance."
Lack Of Communication,3,2,Trust Issues,"Lack of communication refers to a situation where people fail to effectively exchange information, thoughts, or feelings with each other. It can lead to misunderstandings, conflicts, and broken relationships.",🙅‍♀️,"- A couple who have been married for years but rarely have conversations beyond basic small talk
- A team at work who struggle to meet deadlines because each member assumes someone else is taking care of a certain task, but no one checks in to confirm
- A friend who cancels plans last minute without explanation, leaving the other friend feeling hurt and confused
- A parent who is unaware of their child's struggles at school because they do not communicate regularly with their child's teacher
- A boss who fails to provide clear guidance or feedback to their employees, leading to frustration and low morale among the team."
Controlling Behavior,3,2,Trust Issues,"Controlling behavior refers to actions or attitudes that are used to manipulate or dominate another person, often in an attempt to maintain power or authority over them. This can include actions such as monitoring their actions, restricting their freedom, or attempting to isolate them from others.",👀,"- Monitoring their partner's phone calls, text messages, or social media accounts
- Dictating what their partner can wear, who they can spend time with, or where they can go
- Becoming angry or upset if their partner does not follow their instructions or refuses to do what they want
- Using threats or intimidation to get their way, such as threatening to leave if their partner does not comply with their demands
- Refusing to allow their partner to have friends or go out without them
- Criticizing or belittling their partner's choices or opinions
- Blaming their partner for their own negative emotions or behaviors."
Cheating,3,2,Trust Issues,Cheating is the act of being dishonest or unfaithful in a romantic relationship. It involves breaking the trust of one's partner by engaging in intimate or sexual activities with someone else.,👩‍❤️‍💋‍👨 (couple kissing),"- Having a physical affair with someone else while in a committed relationship
- Engaging in emotional infidelity by confiding in and seeking emotional support from someone else
- Lying about one's whereabouts or who they are spending time with
- Using dating apps or websites to communicate with and potentially meet up with other people while in a relationship
- Secretly flirting or texting with someone else behind one's partner's back."
Lack Of Communication,7,2,Communication Issues,"Lack of communication refers to a situation where people fail to effectively exchange information, thoughts, or feelings with each other. It can lead to misunderstandings, conflicts, and broken relationships.",🙅‍♀️,"- A couple who have been married for years but rarely have conversations beyond basic small talk
- A team at work who struggle to meet deadlines because each member assumes someone else is taking care of a certain task, but no one checks in to confirm
- A friend who cancels plans last minute without explanation, leaving the other friend feeling hurt and confused
- A parent who is unaware of their child's struggles at school because they do not communicate regularly with their child's teacher
- A boss who fails to provide clear guidance or feedback to their employees, leading to frustration and low morale among the team."
Inability To Listen,3,2,Communication Issues,"Inability to listen refers to the difficulty or incapacity of a person to pay attention and comprehend what others are saying. It is a communication issue that can lead to misunderstandings, conflicts, and a breakdown of relationships.",🙉,"- Interrupting the speaker before they finish speaking
- Ignoring what the speaker is saying and instead focusing on one's own thoughts or agenda
- Failing to acknowledge the speaker's feelings or emotions 
- Dismissing the speaker's concerns or ideas without considering them 
- Constantly checking one's phone or other distractions while someone is speaking to them 
- Speaking over the speaker or dominating the conversation without allowing others to contribute 
- Assuming what the speaker is going to say and not allowing them to finish their thoughts 
- Responding to something irrelevant to what the speaker is saying 
- Not asking clarifying questions to better understand what the speaker is trying to convey."
