topic,count,depth,parent,definition,emoji,examples
Psychological Horror,6,1,tropes in horror,"Psychological horror is a subgenre of horror that focuses on creating an intense feeling of fear, anxiety and unease in the audience through psychological means such as mind games, illusions, and manipulation. It often deals with the human psyche, mental illness, and the subconscious, using tropes such as unreliable narrators, distorted realities, and existential dread to create a sense of terror. Unlike traditional horror movies which rely on jump scares and gore, psychological horror relies on the power of suggestion, leaving the audience to imagine the worst possible outcomes.",🧠,"- ""The Shining"" (1980) directed by Stanley Kubrick: A man becomes the winter caretaker of a hotel with a dark past and slowly descends into madness, leading to a terrifying climax.
- ""Black Swan"" (2010) directed by Darren Aronofsky: A ballerina strives for perfection in her role as the Swan Queen, but her obsession and psychological struggles lead to a terrifying transformation.
- ""Silence of the Lambs"" (1991) directed by Jonathan Demme: An FBI agent seeks the help of a notorious cannibalistic serial killer in order to catch another killer on the loose.
- ""Get Out"" (2017) directed by Jordan Peele: A young African American man visits his white girlfriend's parents' estate for the weekend, but soon realizes there is something sinister happening.
- ""Perfect Blue"" (1997) directed by Satoshi Kon: A pop singer turned actress struggles with her identity and sanity as she is haunted by a doppelganger and confronts the dark side of the entertainment industry."
Jump Scares,6,1,tropes in horror,"Jump scares are sudden and unexpected loud noises or visual elements that are used in horror to startle and frighten the audience. They are commonly used as a trope in horror movies and games to create suspense and fear. Jump scares rely on the element of surprise to shock and scare the audience, and are often used in combination with other horror tropes to create a terrifying experience.",👻,"- A character suddenly opening a door and screaming loudly
- A monster suddenly jumping out of the darkness
- A sudden loud noise, such as a bang or crash, accompanied by a frightening image
- A character suddenly appearing in a mirror or reflection behind the main character
- A hand suddenly grabbing a character from off-screen"
Body Horror,6,1,tropes in horror,"Body horror is a subgenre of horror that focuses on the physical and psychological transformation of the human body. It often involves graphic and disturbing depictions of bodily mutilation, mutation, or infection, and can evoke feelings of disgust, revulsion, and fear. Body horror is a common trope in horror films and literature, and is often used to explore themes such as identity, mortality, and the limits of the human body.",🤢,"- The Fly (1986): A scientist's experiment goes horribly wrong when he accidentally merges his DNA with that of a housefly, resulting in a grotesque and painful transformation.

- The Thing (1982): A group of scientists in Antarctica are forced to confront a shape-shifting alien creature that can assimilate and mimic any living organism, leading to gruesome and disturbing transformations.

- American Horror Story: Roanoke (2016): The sixth season of this horror anthology series featured a storyline that incorporated elements of body horror, including a character who undergoes a painful and disturbing transformation into a cannibalistic creature.

- The Human Centipede (2009): A notorious horror film that revolves around a mad scientist who kidnaps and surgically attaches his victims together, creating a grotesque human centipede.

- Dead Ringers (1988): A psychological horror film about twin gynecologists who become increasingly obsessed with experimenting on their own bodies, leading to disturbing and painful consequences."
Slasher Films,4,1,tropes in horror,"Slasher films are a subgenre of horror films that typically involve a serial killer or masked murderer who stalks and kills their victims in a brutal and graphic manner. These films often include tropes such as a final girl, jump scares, gore, and the use of weapons as a means of murder. Slasher films became popular in the late 1970s and 1980s and continue to be a staple in the horror genre.",🔪,"- Halloween (1978)
- Friday the 13th (1980)
- Nightmare on Elm Street (1984)
- Scream (1996)
- Texas Chainsaw Massacre (1974)"
Settings,3,1,tropes in horror,"Settings refer to the physical, geographical, or atmospheric environment in which a story takes place. In horror, settings play a crucial role in establishing the mood, atmosphere, and sense of dread in a narrative. The use of specific settings or locations can also create a sense of foreboding, fear, and unease, making them an essential element in horror tropes.",🌎,"- Abandoned buildings or structures
- Dark forests or woods
- Isolated or remote locations (such as cabins in the woods or small towns)
- Haunted houses or mansions
- Cemeteries or graveyards
- Asylums or mental institutions
- Underground tunnels or catacombs
- Ominous or eerie landscapes (such as foggy moors or misty swamps)"
Plot Devices,3,1,tropes in horror,"Plot devices are narrative devices used in storytelling to advance the plot or create suspense. In horror, these devices are often used to create fear and tension, and may include elements such as jump scares, foreshadowing, and sudden twists. These devices are integral to the development of the story and can make or break the success of the horror genre.",🎬,"- Jump scares: A sudden and unexpected loud noise or visual that startles the viewer, often accompanied by a musical cue.
- Foreshadowing: Hints or clues that suggest future events or plot developments, creating a sense of unease or anticipation in the audience.
- Sudden twists: A surprising plot development that subverts the audience's expectations, often revealing a hidden motive or secret.
- Final girl trope: A common horror trope where the last surviving female character is the one who defeats the villain and survives the ordeal.
- The haunted location trope: A setting that is haunted or cursed, such as a haunted house or abandoned asylum, which creates a sense of dread and danger for the characters."
Curses,3,1,tropes in horror,"Curses are supernatural afflictions that bring about misfortune, suffering, and death to those who fall under their spell. In horror, curses are often used as a plot device to create fear and tension, as they represent an unstoppable force that cannot be reasoned with or defeated by conventional means. Curses are a common trope in horror because they tap into our primal fear of the unknown and the uncontrollable, reminding us that sometimes, there are forces in the world that are beyond our understanding and control.",🧿,"- The cursed object: a cursed object that brings misfortune to anyone who possesses it or comes into contact with it, such as the cursed videotape in ""The Ring"" or the cursed doll in ""Annabelle.""
- The ancestral curse: a curse that affects an entire bloodline or family, often passed down from generation to generation, such as the curse on the Von Erich family in wrestling lore or the curse of the Kennedy family in political circles.
- The supernatural curse: a curse that is inflicted by a supernatural being, such as a witch or a demon, often as punishment for some transgression or offense, such as the curse in ""Drag Me to Hell"" or the curse in ""The Exorcist."""
Cults,3,1,tropes in horror,"Cults are groups of people who have extreme and often dangerous religious or ideological beliefs. They are often associated with tropes in horror because they can be portrayed as mysterious and sinister, with their rituals and practices causing fear and unease. Cults can also be used as a way to explore themes of brainwashing, manipulation, and the dangers of blind faith.",🕯️,"- The Manson Family: A real-life cult that gained notoriety for their brutal murders in the late 1960s. They believed in a mixture of hippie ideals and twisted interpretations of Christianity, and their leader, Charles Manson, convinced them to commit horrific acts in his name.
- The Children of the Corn: A fictional cult from the Stephen King short story and subsequent film adaptations. The children of a small town are brainwashed by a boy preacher named Isaac and his cult, and they begin to sacrifice adults to their deity, ""He Who Walks Behind the Rows.""
- The Family: Another real-life cult, led by Australian Anne Hamilton-Byrne in the 1960s and 70s. The members were children who were taken from their families and raised as Hamilton-Byrne's own children. She convinced them that she was a reincarnation of Jesus Christ and subjected them to physical and emotional abuse.
- The Wicker Man: A classic horror film from 1973 that features a cult on a remote Scottish island. They worship pagan gods and plan to sacrifice a police officer who comes to investigate a missing child. The film explores themes of religious intolerance and the dangers of blind faith."
Characters,3,1,tropes in horror,"Characters are the individuals, often with distinct personalities and traits, who drive the narrative of a story. In horror, characters play a crucial role in creating tension and suspense, as their actions and reactions to terrifying situations can heighten the audience's fear. Tropes in horror often rely on archetypes of characters, such as the final girl or the skeptic, to establish familiar roles for the audience to identify with or root against.",👥,"- The Final Girl: This character trope is often a young woman who is the last survivor of a group of friends who have been terrorized by a killer or monster. She is typically resourceful, intelligent, and able to fight back against the villain. Examples include Laurie Strode from Halloween and Sidney Prescott from Scream.
- The Skeptic: This character is often the voice of reason in a horror story, questioning the supernatural events or insisting that there must be a rational explanation for what's happening. They may be seen as a nuisance or obstacle to the other characters who are convinced that they are in danger. Examples include Dr. Malcolm Crowe from The Sixth Sense and Dana Scully from The X-Files.
- The Jock: This character is often physically strong and athletic, but not necessarily the smartest or most empathetic. They may be the first to confront the villain or monster, but are also the most likely to die early on in the story. Examples include Kurt from The Cabin in the Woods and Chad from Tucker and Dale vs. Evil.
- The Innocent: This character is often a child or someone who is naïve and innocent, who is thrust into a terrifying situation. They may be protected by the other characters, or become a liability as they are unable to defend themselves. Examples include Danny from The Shining and Regan from The Exorcist.
- The Authority Figure: This character is often a police officer, doctor, or other professional who is"
Trauma,6,2,Psychological Horror,"Trauma refers to a deeply distressing or disturbing experience that has a lasting psychological impact on an individual. In the context of horror, trauma is often used as a central theme or plot device to explore the psychological effects of fear, anxiety, and terror on characters. This trope is often used to create a sense of unease and dread in the audience and can involve a wide range of traumatic experiences, including physical violence, emotional abuse, and psychological manipulation.",💔,"- A character who suffers from recurring nightmares or flashbacks to a traumatic event in their past, such as a violent attack or a loved one's death.
- A protagonist who is stalked or tormented by a figure from their past, such as an abusive ex-partner or a childhood bully.
- A group of characters who are stranded or trapped in a dangerous situation, such as a haunted house or a remote wilderness, and must confront their own fears and traumas in order to survive."
